1, 7:42:09.04, 7:42:47.45,N/A 
2, 7:42:47.45, 7:44:21.55,N/A 
3, 7:44:21.55, 7:46:19.82,N/A 
4, 7:46:19.82, 7:49:07.00,N/A 
5, 7:49:07.00, 7:52:57.92,N/A 
6, 7:52:57.92, 8:00:21.64,N/A 
7, 8:00:21.64, 8:08:30.58,N/A 
8, 8:08:30.58, 8:42:38.67,N/A 
9, 8:42:38.67, 9:12:50.66,N/A 
10, 9:12:50.67, 9:49:56.13,N/A 
11, 9:49:56.13,10:51:16.92,N/A 
12,10:51:16.92,16:11:35.01,N/A 
13,16:11:35.01,12:18:00.69,N/A 
14,12:18:00.72,13:15:06.50,N/A 
15,13:15:06.51,13:51:10.01,N/A 
16,13:51:10.01,19:16:24.14,N/A 
