gameweek,squad,lineup,captain,vice_captain,transfers_in,transfers_out,budget_end,alpha,q_start,objective_value,chip_played,budget_start,objective_gw,actual_squad_points,actual_lineup_points,actual_captain_points,actual_total_points
77,"Alisson Ramses Becker, Benjamin White, Brennan Johnson, Bruno Borges Fernandes, Bukayo Saka, Dan Burn, Erling Haaland, Ethan Pinnock, Fabian Schar, Julian Alvarez, Kieran Trippier, Mark Flekken, Martin Odegaard, Mohamed Salah, Ollie Watkins","Alisson Ramses Becker, Benjamin White, Brennan Johnson, Bruno Borges Fernandes, Bukayo Saka, Dan Burn, Erling Haaland, Fabian Schar, Martin Odegaard, Mohamed Salah, Ollie Watkins",Martin Odegaard,Bukayo Saka,,,45.0,0,1,171.2554577566656,,1000.0,59.181810561509224,63,59,3.0,62
78,"Alisson Ramses Becker, Benjamin White, Bukayo Saka, Dan Burn, Erling Haaland, Ethan Pinnock, Fabian Schar, Julian Alvarez, Kieran Trippier, Mark Flekken, Martin Odegaard, Mohamed Salah, Ollie Watkins, Phil Foden, Son Heung-min","Alisson Ramses Becker, Benjamin White, Bukayo Saka, Erling Haaland, Fabian Schar, Kieran Trippier, Martin Odegaard, Mohamed Salah, Ollie Watkins, Phil Foden, Son Heung-min",Erling Haaland,Ollie Watkins,"Phil Foden, Son Heung-min","Brennan Johnson, Bruno Borges Fernandes",0.0,0,2,171.13954385989055,,45.0,54.818199681486675,71,66,17.0,83
79,"Alisson Ramses Becker, Benjamin White, Bruno Borges Fernandes, Bukayo Saka, Dan Burn, Erling Haaland, Ethan Pinnock, Fabian Schar, Julian Alvarez, Kieran Trippier, Mark Flekken, Martin Odegaard, Mohamed Salah, Ollie Watkins, Phil Foden","Benjamin White, Bruno Borges Fernandes, Bukayo Saka, Erling Haaland, Ethan Pinnock, Julian Alvarez, Kieran Trippier, Mark Flekken, Martin Odegaard, Mohamed Salah, Ollie Watkins",Erling Haaland,Martin Odegaard,Bruno Borges Fernandes,Son Heung-min,16.0,0,1,173.5793869019777,,0.0,55.90928921429747,63,55,17.0,72
80,"Alisson Ramses Becker, Benjamin White, Bruno Borges Fernandes, Bukayo Saka, Dan Burn, Daniel Munoz, Erling Haaland, Fabian Schar, Julian Alvarez, Kieran Trippier, Mark Flekken, Martin Odegaard, Mohamed Salah, Ollie Watkins, Phil Foden","Alisson Ramses Becker, Benjamin White, Bruno Borges Fernandes, Bukayo Saka, Dan Burn, Erling Haaland, Kieran Trippier, Martin Odegaard, Mohamed Salah, Ollie Watkins, Phil Foden",Erling Haaland,Mohamed Salah,Daniel Munoz,Ethan Pinnock,11.0,0,1,173.51899812117236,,16.0,58.869746794603465,61,50,13.0,63
81,"Alisson Ramses Becker, Benjamin White, Bruno Borges Fernandes, Bukayo Saka, Dan Burn, Daniel Munoz, Erling Haaland, Fabian Schar, Julian Alvarez, Kieran Trippier, Mark Flekken, Mohamed Salah, Ollie Watkins, Pascal Gross, Phil Foden","Alisson Ramses Becker, Benjamin White, Bruno Borges Fernandes, Bukayo Saka, Daniel Munoz, Erling Haaland, Kieran Trippier, Mohamed Salah, Ollie Watkins, Pascal Gross, Phil Foden",Mohamed Salah,Erling Haaland,Pascal Gross,Martin Odegaard,29.0,0,1,171.14017993563664,,11.0,55.9520352312687,42,37,5.999999999999999,43
82,"Alisson Ramses Becker, Benjamin White, Bruno Borges Fernandes, Bukayo Saka, Dan Burn, Daniel Munoz, Erling Haaland, Fabian Schar, Julian Alvarez, Kieran Trippier, Mark Flekken, Martin Odegaard, Mohamed Salah, Ollie Watkins, Pascal Gross","Benjamin White, Bruno Borges Fernandes, Bukayo Saka, Daniel Munoz, Erling Haaland, Kieran Trippier, Mark Flekken, Martin Odegaard, Mohamed Salah, Ollie Watkins, Pascal Gross",Bukayo Saka,Martin Odegaard,Martin Odegaard,Phil Foden,40.0,0,1,172.17342492850472,,29.0,56.16047435556744,34,29,3.0,32
83,"Alisson Ramses Becker, Benjamin White, Bruno Borges Fernandes, Bukayo Saka, Dan Burn, Daniel Munoz, Erling Haaland, Julian Alvarez, Kieran Trippier, Mark Flekken, Martin Odegaard, Mohamed Salah, Ollie Watkins, Pascal Gross, Trent Alexander-Arnold","Alisson Ramses Becker, Benjamin White, Bukayo Saka, Erling Haaland, Julian Alvarez, Kieran Trippier, Martin Odegaard, Mohamed Salah, Ollie Watkins, Pascal Gross, Trent Alexander-Arnold",Bukayo Saka,Erling Haaland,Trent Alexander-Arnold,Fabian Schar,23.0,0,1,175.50062973036137,,40.0,57.232097772754855,63,49,16.0,65
84,"Alisson Ramses Becker, Benjamin White, Bruno Borges Fernandes, Bukayo Saka, Dan Burn, Daniel Munoz, Erling Haaland, Jordan Ayew, Julian Alvarez, Kieran Trippier, Mark Flekken, Martin Odegaard, Mohamed Salah, Ollie Watkins, Trent Alexander-Arnold","Alisson Ramses Becker, Benjamin White, Bruno Borges Fernandes, Bukayo Saka, Erling Haaland, Jordan Ayew, Kieran Trippier, Martin Odegaard, Mohamed Salah, Ollie Watkins, Trent Alexander-Arnold",Mohamed Salah,Bukayo Saka,Jordan Ayew,Pascal Gross,36.0,0,1,175.51528142405806,,23.0,57.74955330126849,41,35,12.0,47
85,"Alisson Ramses Becker, Benjamin White, Bukayo Saka, Dan Burn, Daniel Munoz, Erling Haaland, Jordan Ayew, Julian Alvarez, Kieran Trippier, Mark Flekken, Martin Odegaard, Mohamed Salah, Ollie Watkins, Son Heung-min, Trent Alexander-Arnold","Benjamin White, Bukayo Saka, Daniel Munoz, Erling Haaland, Julian Alvarez, Kieran Trippier, Mark Flekken, Martin Odegaard, Mohamed Salah, Ollie Watkins, Son Heung-min",Bukayo Saka,Ollie Watkins,Son Heung-min,Bruno Borges Fernandes,19.0,0,1,173.02344696183928,,36.0,58.626748453319884,39,37,9.0,46
86,"Alisson Ramses Becker, Benjamin White, Bruno Borges Fernandes, Bukayo Saka, Dan Burn, Daniel Munoz, Erling Haaland, Jordan Ayew, Julian Alvarez, Kieran Trippier, Mark Flekken, Mohamed Salah, Ollie Watkins, Son Heung-min, Trent Alexander-Arnold","Alisson Ramses Becker, Benjamin White, Bruno Borges Fernandes, Bukayo Saka, Erling Haaland, Julian Alvarez, Kieran Trippier, Mohamed Salah, Ollie Watkins, Son Heung-min, Trent Alexander-Arnold",Mohamed Salah,Son Heung-min,Bruno Borges Fernandes,Martin Odegaard,19.0,0,1,174.44667125367374,,19.0,56.74374586379613,52,32,9.0,41
