gameweek,squad,lineup,captain,vice_captain,transfers_in,transfers_out,budget_end,alpha,q_start,objective_value,chip_played,budget_start,objective_gw
77,"Bukayo Saka, Cristian Romero, Danny Welbeck, David Raya Martin, Erling Haaland, Joel Veltman, Joelinton Cassio Apolinario de Lira, Kai Havertz, Luis Diaz, Mateo Kovacic, Max Kilman, Mohamed Salah, Nick Pope, Pedro Porro, Trent Alexander-Arnold","Bukayo Saka, Danny Welbeck, Erling Haaland, Joel Veltman, Joelinton Cassio Apolinario de Lira, Kai Havertz, Mateo Kovacic, Mohamed Salah, Nick Pope, Pedro Porro, Trent Alexander-Arnold",Mohamed Salah,Bukayo Saka,,,54.0,0,1,291.0129999999999,,1000.0,128.24099999999999
78,"Cole Palmer, Cristian Romero, Danny Welbeck, David Raya Martin, Erling Haaland, Joel Veltman, Kai Havertz, Luis Diaz, Max Kilman, Mohamed Salah, Nick Pope, Noni Madueke, Pedro Porro, Son Heung-min, Trent Alexander-Arnold","Cole Palmer, Cristian Romero, Danny Welbeck, David Raya Martin, Erling Haaland, Luis Diaz, Max Kilman, Mohamed Salah, Noni Madueke, Pedro Porro, Son Heung-min",Noni Madueke,Cole Palmer,"Cole Palmer, Noni Madueke, Son Heung-min","Bukayo Saka, Joelinton Cassio Apolinario de Lira, Mateo Kovacic",0.0,1,2,282.54299999999995,,54.0,162.772
79,"Bryan Mbeumo, Cole Palmer, David Raya Martin, Dominic Calvert-Lewin, Erling Haaland, Gabriel dos Santos Magalhaes, Harvey Barnes, Joel Veltman, Kai Havertz, Lucas Digne, Luis Diaz, Mohamed Salah, Nick Pope, Ola Aina, Trent Alexander-Arnold","Bryan Mbeumo, Dominic Calvert-Lewin, Erling Haaland, Harvey Barnes, Joel Veltman, Kai Havertz, Lucas Digne, Luis Diaz, Mohamed Salah, Nick Pope, Trent Alexander-Arnold",Mohamed Salah,Erling Haaland,"Bryan Mbeumo, Dominic Calvert-Lewin, Gabriel dos Santos Magalhaes, Harvey Barnes, Lucas Digne, Ola Aina","Cristian Romero, Danny Welbeck, Max Kilman, Noni Madueke, Pedro Porro, Son Heung-min",30.0,5,1,231.32999999999998,,0.0,109.77199999999999
80,"Cole Palmer, Diogo Dalot Teixeira, Dwight McNeil, Erling Haaland, Gabriel dos Santos Magalhaes, Harvey Barnes, Jean-Philippe Mateta, Joel Veltman, Luis Diaz, Mario Lemina, Nick Pope, Ola Aina, Ollie Watkins, Robert Sanchez, Trent Alexander-Arnold","Diogo Dalot Teixeira, Dwight McNeil, Erling Haaland, Gabriel dos Santos Magalhaes, Harvey Barnes, Jean-Philippe Mateta, Joel Veltman, Mario Lemina, Ola Aina, Ollie Watkins, Robert Sanchez",Gabriel dos Santos Magalhaes,Robert Sanchez,"Diogo Dalot Teixeira, Dwight McNeil, Jean-Philippe Mateta, Mario Lemina, Ollie Watkins, Robert Sanchez","Bryan Mbeumo, David Raya Martin, Dominic Calvert-Lewin, Kai Havertz, Lucas Digne, Mohamed Salah",107.0,5,1,249.21099999999996,,30.0,121.54599999999999
81,"Cole Palmer, Diogo Dalot Teixeira, Dwight McNeil, Erling Haaland, Gabriel dos Santos Magalhaes, Harvey Barnes, James Maddison, Luis Diaz, Marc Guehi, Nick Pope, Nicolas Jackson, Ola Aina, Ollie Watkins, Robert Sanchez, Trent Alexander-Arnold","Cole Palmer, Diogo Dalot Teixeira, Erling Haaland, Gabriel dos Santos Magalhaes, Harvey Barnes, James Maddison, Luis Diaz, Nicolas Jackson, Ollie Watkins, Robert Sanchez, Trent Alexander-Arnold",Luis Diaz,Nicolas Jackson,"James Maddison, Marc Guehi, Nicolas Jackson","Jean-Philippe Mateta, Joel Veltman, Mario Lemina",80.0,2,1,265.231,,107.0,123.66999999999999
82,"Carlos Baleba, Cole Palmer, Dwight McNeil, Gabriel Martinelli Silva, James Justin, James Maddison, Liam Delap, Marc Guehi, Micky van de Ven, Nick Pope, Nicolas Jackson, Ollie Watkins, Rayan Ait-Nouri, Robert Sanchez, Trent Alexander-Arnold","Carlos Baleba, Cole Palmer, Dwight McNeil, Gabriel Martinelli Silva, James Justin, Liam Delap, Marc Guehi, Micky van de Ven, Nick Pope, Ollie Watkins, Rayan Ait-Nouri",Cole Palmer,Dwight McNeil,"Carlos Baleba, Gabriel Martinelli Silva, James Justin, Liam Delap, Micky van de Ven, Rayan Ait-Nouri","Diogo Dalot Teixeira, Erling Haaland, Gabriel dos Santos Magalhaes, Harvey Barnes, Luis Diaz, Ola Aina",226.0,5,1,268.238,,80.0,138.566
83,"Bukayo Saka, Danny Welbeck, Georginio Rutter, James Justin, James Maddison, Jarrod Bowen, Jordan Pickford, Marc Guehi, Mateo Kovacic, Michael Keane, Michail Antonio, Ollie Watkins, Rayan Ait-Nouri, Robert Sanchez, Trent Alexander-Arnold","Bukayo Saka, Danny Welbeck, Georginio Rutter, James Justin, James Maddison, Jarrod Bowen, Jordan Pickford, Mateo Kovacic, Michail Antonio, Rayan Ait-Nouri, Trent Alexander-Arnold",Michail Antonio,Bukayo Saka,"Bukayo Saka, Danny Welbeck, Georginio Rutter, Jarrod Bowen, Jordan Pickford, Mateo Kovacic, Michael Keane, Michail Antonio","Carlos Baleba, Cole Palmer, Dwight McNeil, Gabriel Martinelli Silva, Liam Delap, Micky van de Ven, Nick Pope, Nicolas Jackson",255.0,7,1,228.00400000000002,,226.0,123.672
84,"Bukayo Saka, Chris Wood, Curtis Jones, Danny Welbeck, Georginio Rutter, Jordan Pickford, Josko Gvardiol, Justin Kluivert, Marc Guehi, Marcos Senesi, Matz Sels, Michael Keane, Mohamed Salah, Ollie Watkins, Rayan Ait-Nouri","Chris Wood, Curtis Jones, Danny Welbeck, Georginio Rutter, Josko Gvardiol, Justin Kluivert, Marcos Senesi, Matz Sels, Michael Keane, Mohamed Salah, Ollie Watkins",Michael Keane,Curtis Jones,"Chris Wood, Curtis Jones, Josko Gvardiol, Justin Kluivert, Marcos Senesi, Matz Sels, Mohamed Salah","James Justin, James Maddison, Jarrod Bowen, Mateo Kovacic, Michail Antonio, Robert Sanchez, Trent Alexander-Arnold",230.0,6,1,211.68700000000004,,255.0,101.325
85,"Alex Iwobi, Bryan Mbeumo, Bukayo Saka, Chris Wood, Danny Welbeck, George Hirst, Georginio Rutter, Jordan Pickford, Josko Gvardiol, Marc Guehi, Marcos Senesi, Matz Sels, Michael Keane, Mohamed Salah, Rayan Ait-Nouri","Alex Iwobi, Bryan Mbeumo, Bukayo Saka, Chris Wood, Danny Welbeck, George Hirst, Josko Gvardiol, Marc Guehi, Matz Sels, Mohamed Salah, Rayan Ait-Nouri",Bryan Mbeumo,Chris Wood,"Alex Iwobi, Bryan Mbeumo, George Hirst","Curtis Jones, Justin Kluivert, Ollie Watkins",242.0,2,1,217.92900000000003,,230.0,110.362
86,"Alexander Isak, Bruno Borges Fernandes, Bryan Mbeumo, Chris Wood, Dominic Solanke, Harry Wilson, Joelinton Cassio Apolinario de Lira, Jordan Pickford, Josko Gvardiol, Marc Guehi, Matz Sels, Milos Kerkez, Mohamed Salah, Ola Aina, Rayan Ait-Nouri","Alexander Isak, Bruno Borges Fernandes, Chris Wood, Dominic Solanke, Harry Wilson, Josko Gvardiol, Marc Guehi, Matz Sels, Milos Kerkez, Mohamed Salah, Ola Aina",Dominic Solanke,Ola Aina,"Alexander Isak, Bruno Borges Fernandes, Dominic Solanke, Harry Wilson, Joelinton Cassio Apolinario de Lira, Milos Kerkez, Ola Aina","Alex Iwobi, Bukayo Saka, Danny Welbeck, George Hirst, Georginio Rutter, Marcos Senesi, Michael Keane",214.0,6,1,226.0119999999999,,242.0,102.546
