gameweek,squad,lineup,captain,vice_captain,transfers_in,transfers_out,budget_end,alpha,q_start,objective_value,chip_played,budget_start,objective_gw
77,"Amadou Onana, Bukayo Saka, Danny Welbeck, Diogo Dalot Teixeira, Joao Neves Virginia, Joel Veltman, Joelinton Cassio Apolinario de Lira, Kai Havertz, Mateo Kovacic, Mohamed Salah, Nick Pope, Pedro Porro, Tino Livramento, Trent Alexander-Arnold, Yoane Wissa","Bukayo Saka, Danny Welbeck, Joel Veltman, Joelinton Cassio Apolinario de Lira, Kai Havertz, Mateo Kovacic, Mohamed Salah, Nick Pope, Pedro Porro, Trent Alexander-Arnold, Yoane Wissa",Mohamed Salah,Bukayo Saka,,,0.0,0,1,132.34199999999998,,1000.0,132.34199999999998
78,"Cole Palmer, Cristian Romero, Danny Welbeck, David Raya Martin, Joao Neves Virginia, Joel Veltman, Luis Diaz, Max Kilman, Nicolas Jackson, Noni Madueke, Pedro Porro, Son Heung-min, Thomas Partey, Tino Livramento, Yoane Wissa","Cole Palmer, Cristian Romero, Danny Welbeck, David Raya Martin, Luis Diaz, Max Kilman, Nicolas Jackson, Noni Madueke, Pedro Porro, Son Heung-min, Thomas Partey",Noni Madueke,Cole Palmer,"Cole Palmer, Cristian Romero, David Raya Martin, Luis Diaz, Max Kilman, Nicolas Jackson, Noni Madueke, Son Heung-min, Thomas Partey","Amadou Onana, Bukayo Saka, Diogo Dalot Teixeira, Joelinton Cassio Apolinario de Lira, Kai Havertz, Mateo Kovacic, Mohamed Salah, Nick Pope, Trent Alexander-Arnold",22.0,7,2,132.731,,0.0,132.731
79,"Bart Verbruggen, Bryan Mbeumo, Dominic Calvert-Lewin, Erling Haaland, Joao Neves Virginia, Joel Veltman, Lucas Digne, Luis Diaz, Luis Sinisterra Lucumi, Max Kilman, Michael Keane, Mohamed Salah, Thomas Partey, Tino Livramento, Yoane Wissa","Bart Verbruggen, Bryan Mbeumo, Dominic Calvert-Lewin, Erling Haaland, Joel Veltman, Lucas Digne, Luis Diaz, Luis Sinisterra Lucumi, Michael Keane, Mohamed Salah, Yoane Wissa",Erling Haaland,Mohamed Salah,"Bart Verbruggen, Bryan Mbeumo, Dominic Calvert-Lewin, Erling Haaland, Lucas Digne, Luis Sinisterra Lucumi, Michael Keane, Mohamed Salah","Cole Palmer, Cristian Romero, Danny Welbeck, David Raya Martin, Nicolas Jackson, Noni Madueke, Pedro Porro, Son Heung-min",0.0,7,1,103.725,,22.0,103.725
80,"Bart Verbruggen, Diogo Dalot Teixeira, Dwight McNeil, Erling Haaland, Gabriel dos Santos Magalhaes, Jean-Philippe Mateta, Joel Veltman, Lucas Digne, Luis Diaz, Mario Lemina, Ola Aina, Ollie Watkins, Robert Sanchez, Thomas Partey, Wilfred Ndidi","Diogo Dalot Teixeira, Dwight McNeil, Erling Haaland, Gabriel dos Santos Magalhaes, Jean-Philippe Mateta, Joel Veltman, Mario Lemina, Ola Aina, Ollie Watkins, Robert Sanchez, Wilfred Ndidi",Gabriel dos Santos Magalhaes,Robert Sanchez,"Diogo Dalot Teixeira, Dwight McNeil, Gabriel dos Santos Magalhaes, Jean-Philippe Mateta, Mario Lemina, Ola Aina, Ollie Watkins, Robert Sanchez, Wilfred Ndidi","Bryan Mbeumo, Dominic Calvert-Lewin, Joao Neves Virginia, Luis Sinisterra Lucumi, Max Kilman, Michael Keane, Mohamed Salah, Tino Livramento, Yoane Wissa",22.0,8,1,109.55799999999996,,0.0,109.55799999999999
81,"Bart Verbruggen, Diogo Dalot Teixeira, Erling Haaland, Gabriel dos Santos Magalhaes, Iliman Ndiaye, Jack Hinshelwood, James Maddison, Joel Veltman, Lucas Digne, Luis Diaz, Morgan Rogers, Nicolas Jackson, Robert Sanchez, Trent Alexander-Arnold, Wilfred Ndidi","Diogo Dalot Teixeira, Erling Haaland, Gabriel dos Santos Magalhaes, Iliman Ndiaye, Jack Hinshelwood, James Maddison, Luis Diaz, Morgan Rogers, Nicolas Jackson, Robert Sanchez, Trent Alexander-Arnold",Nicolas Jackson,Luis Diaz,"Iliman Ndiaye, Jack Hinshelwood, James Maddison, Morgan Rogers, Nicolas Jackson, Trent Alexander-Arnold","Dwight McNeil, Jean-Philippe Mateta, Mario Lemina, Ola Aina, Ollie Watkins, Thomas Partey",8.0,5,1,115.626,,22.0,115.626
82,"Bart Verbruggen, Carlos Baleba, Cole Palmer, Dwight McNeil, Gabriel Martinelli Silva, Gabriel dos Santos Magalhaes, James Justin, Leandro Trossard, Liam Delap, Marc Guehi, Micky van de Ven, Nicolas Jackson, Ollie Watkins, Robert Sanchez, Trent Alexander-Arnold","Carlos Baleba, Cole Palmer, Dwight McNeil, Gabriel Martinelli Silva, James Justin, Leandro Trossard, Liam Delap, Marc Guehi, Micky van de Ven, Ollie Watkins, Robert Sanchez",Cole Palmer,Dwight McNeil,"Carlos Baleba, Cole Palmer, Dwight McNeil, Gabriel Martinelli Silva, James Justin, Leandro Trossard, Liam Delap, Marc Guehi, Micky van de Ven, Ollie Watkins","Diogo Dalot Teixeira, Erling Haaland, Iliman Ndiaye, Jack Hinshelwood, James Maddison, Joel Veltman, Lucas Digne, Luis Diaz, Morgan Rogers, Wilfred Ndidi",35.0,9,1,124.55600000000001,,8.0,124.55600000000001
83,"Bart Verbruggen, Bukayo Saka, Facundo Buonanotte, Gabriel dos Santos Magalhaes, Georginio Rutter, James Justin, Jarrod Bowen, Jordan Pickford, Liam Delap, Marc Guehi, Mateo Kovacic, Michail Antonio, Nathan Collins, Ollie Watkins, Trent Alexander-Arnold","Bukayo Saka, Facundo Buonanotte, Georginio Rutter, James Justin, Jarrod Bowen, Jordan Pickford, Liam Delap, Mateo Kovacic, Michail Antonio, Nathan Collins, Trent Alexander-Arnold",Michail Antonio,Bukayo Saka,"Bukayo Saka, Facundo Buonanotte, Georginio Rutter, Jarrod Bowen, Jordan Pickford, Mateo Kovacic, Michail Antonio, Nathan Collins","Carlos Baleba, Cole Palmer, Dwight McNeil, Gabriel Martinelli Silva, Leandro Trossard, Micky van de Ven, Nicolas Jackson, Robert Sanchez",77.0,7,1,123.632,,35.0,123.632
84,"Bart Verbruggen, Curtis Jones, Facundo Buonanotte, Georginio Rutter, Iliman Ndiaye, John Stones, Jordan Pickford, Josko Gvardiol, Justin Kluivert, Marc Guehi, Michael Keane, Michail Antonio, Mohamed Salah, Ollie Watkins, Trent Alexander-Arnold","Bart Verbruggen, Curtis Jones, Facundo Buonanotte, Georginio Rutter, Iliman Ndiaye, John Stones, Josko Gvardiol, Justin Kluivert, Michael Keane, Mohamed Salah, Ollie Watkins",Michael Keane,Curtis Jones,"Curtis Jones, Iliman Ndiaye, John Stones, Josko Gvardiol, Justin Kluivert, Michael Keane, Mohamed Salah","Bukayo Saka, Gabriel dos Santos Magalhaes, James Justin, Jarrod Bowen, Liam Delap, Mateo Kovacic, Nathan Collins",78.0,6,1,99.332,,77.0,99.332
85,"Alex Iwobi, Bryan Mbeumo, Carlos Henrique Casimiro, Chris Wood, Dean Henderson, George Hirst, Georginio Rutter, John Stones, Jordan Pickford, Josko Gvardiol, Marc Guehi, Michael Keane, Mohamed Salah, Trevoh Chalobah, Yoane Wissa","Alex Iwobi, Bryan Mbeumo, Carlos Henrique Casimiro, Chris Wood, Dean Henderson, George Hirst, Josko Gvardiol, Marc Guehi, Mohamed Salah, Trevoh Chalobah, Yoane Wissa",Bryan Mbeumo,Chris Wood,"Alex Iwobi, Bryan Mbeumo, Carlos Henrique Casimiro, Chris Wood, Dean Henderson, George Hirst, Trevoh Chalobah, Yoane Wissa","Bart Verbruggen, Curtis Jones, Facundo Buonanotte, Iliman Ndiaye, Justin Kluivert, Michail Antonio, Ollie Watkins, Trent Alexander-Arnold",105.0,7,1,99.361,,78.0,99.361
86,"Aaron Ramsdale, Antoine Semenyo, Bryan Mbeumo, Chris Wood, Dean Henderson, Dominic Solanke, Georginio Rutter, Harry Wilson, Josko Gvardiol, Leif Davis, Marc Guehi, Mohamed Salah, Ola Aina, Trevoh Chalobah, Yoane Wissa","Aaron Ramsdale, Antoine Semenyo, Chris Wood, Dominic Solanke, Harry Wilson, Josko Gvardiol, Leif Davis, Marc Guehi, Mohamed Salah, Ola Aina, Trevoh Chalobah",Dominic Solanke,Ola Aina,"Aaron Ramsdale, Antoine Semenyo, Dominic Solanke, Harry Wilson, Leif Davis, Ola Aina","Alex Iwobi, Carlos Henrique Casimiro, George Hirst, John Stones, Jordan Pickford, Michael Keane",88.0,5,1,107.542,,105.0,107.542
