gameweek,squad,lineup,captain,vice_captain,transfers_in,transfers_out,budget_end,alpha,q_start,objective_value,chip_played,budget_start,objective_gw
77,"Bryan Mbeumo, Bukayo Saka, Cristian Romero, Danny Welbeck, David Raya Martin, Diogo Dalot Teixeira, Erling Haaland, Gabriel dos Santos Magalhaes, Joelinton Cassio Apolinario de Lira, Luis Diaz, Mohamed Salah, Ola Aina, Robert Sanchez, Trent Alexander-Arnold, Yoane Wissa","Bryan Mbeumo, Bukayo Saka, Danny Welbeck, David Raya Martin, Diogo Dalot Teixeira, Erling Haaland, Gabriel dos Santos Magalhaes, Joelinton Cassio Apolinario de Lira, Mohamed Salah, Trent Alexander-Arnold, Yoane Wissa",Mohamed Salah,Bukayo Saka,,,9.0,0,1,1135.7229999999997,,1000.0,120.241
78,"Bryan Mbeumo, Cole Palmer, Cristian Romero, Danny Welbeck, David Raya Martin, Diogo Dalot Teixeira, Erling Haaland, Gabriel dos Santos Magalhaes, Luis Diaz, Mohamed Salah, Noni Madueke, Ola Aina, Robert Sanchez, Trent Alexander-Arnold, Yoane Wissa","Cole Palmer, Cristian Romero, Danny Welbeck, David Raya Martin, Erling Haaland, Gabriel dos Santos Magalhaes, Luis Diaz, Mohamed Salah, Noni Madueke, Ola Aina, Trent Alexander-Arnold",Noni Madueke,Erling Haaland,"Cole Palmer, Noni Madueke","Bukayo Saka, Joelinton Cassio Apolinario de Lira",0.0,0,2,1129.0489999999995,,9.0,153.726
79,"Bryan Mbeumo, Cole Palmer, Cristian Romero, Danny Welbeck, David Raya Martin, Diogo Dalot Teixeira, Erling Haaland, Gabriel dos Santos Magalhaes, Harvey Barnes, Luis Diaz, Mohamed Salah, Ola Aina, Robert Sanchez, Trent Alexander-Arnold, Yoane Wissa","Bryan Mbeumo, Cole Palmer, Erling Haaland, Gabriel dos Santos Magalhaes, Harvey Barnes, Luis Diaz, Mohamed Salah, Ola Aina, Robert Sanchez, Trent Alexander-Arnold, Yoane Wissa",Mohamed Salah,Erling Haaland,Harvey Barnes,Noni Madueke,1.0,0,1,1086.7529999999997,,0.0,116.726
80,"Bryan Mbeumo, Cole Palmer, David Raya Martin, Diogo Dalot Teixeira, Dwight McNeil, Erling Haaland, Fabian Schar, Gabriel dos Santos Magalhaes, Harvey Barnes, Jean-Philippe Mateta, Luis Diaz, Ola Aina, Ollie Watkins, Robert Sanchez, Trent Alexander-Arnold","Diogo Dalot Teixeira, Dwight McNeil, Erling Haaland, Fabian Schar, Gabriel dos Santos Magalhaes, Harvey Barnes, Jean-Philippe Mateta, Luis Diaz, Ola Aina, Ollie Watkins, Robert Sanchez",Gabriel dos Santos Magalhaes,Robert Sanchez,"Dwight McNeil, Fabian Schar, Jean-Philippe Mateta, Ollie Watkins","Cristian Romero, Danny Welbeck, Mohamed Salah, Yoane Wissa",26.0,3,1,1105.6949999999995,,1.0,123.541
81,"Bryan Mbeumo, Cole Palmer, David Raya Martin, Diogo Dalot Teixeira, Dwight McNeil, Erling Haaland, Fabian Schar, Gabriel dos Santos Magalhaes, Harvey Barnes, Luis Diaz, Nicolas Jackson, Ola Aina, Ollie Watkins, Robert Sanchez, Trent Alexander-Arnold","Bryan Mbeumo, Cole Palmer, Diogo Dalot Teixeira, Erling Haaland, Gabriel dos Santos Magalhaes, Harvey Barnes, Luis Diaz, Nicolas Jackson, Ollie Watkins, Robert Sanchez, Trent Alexander-Arnold",Nicolas Jackson,Luis Diaz,Nicolas Jackson,Jean-Philippe Mateta,24.0,0,1,1134.2059999999997,,26.0,127.625
82,"Bryan Mbeumo, Cole Palmer, Dwight McNeil, Gabriel Martinelli Silva, James Justin, Jordan Pickford, Josko Gvardiol, Liam Delap, Matz Sels, Michail Antonio, Mohamed Salah, Ola Aina, Ollie Watkins, Rayan Ait-Nouri, Trent Alexander-Arnold","Bryan Mbeumo, Cole Palmer, Dwight McNeil, Gabriel Martinelli Silva, James Justin, Josko Gvardiol, Liam Delap, Matz Sels, Mohamed Salah, Ollie Watkins, Rayan Ait-Nouri",Cole Palmer,Dwight McNeil,"Gabriel Martinelli Silva, James Justin, Jordan Pickford, Josko Gvardiol, Liam Delap, Matz Sels, Michail Antonio, Mohamed Salah, Rayan Ait-Nouri","David Raya Martin, Diogo Dalot Teixeira, Erling Haaland, Fabian Schar, Gabriel dos Santos Magalhaes, Harvey Barnes, Luis Diaz, Nicolas Jackson, Robert Sanchez",121.0,8,1,1147.1129999999994,,24.0,121.561
83,"Bryan Mbeumo, Bukayo Saka, Danny Welbeck, James Justin, Jarrod Bowen, Jordan Pickford, Josko Gvardiol, Mateo Kovacic, Matheus Santos Carneiro Da Cunha, Matz Sels, Michail Antonio, Mohamed Salah, Ola Aina, Rayan Ait-Nouri, Trent Alexander-Arnold","Bryan Mbeumo, Bukayo Saka, Danny Welbeck, James Justin, Jarrod Bowen, Jordan Pickford, Mateo Kovacic, Matheus Santos Carneiro Da Cunha, Michail Antonio, Rayan Ait-Nouri, Trent Alexander-Arnold",Michail Antonio,Bukayo Saka,"Bukayo Saka, Danny Welbeck, Jarrod Bowen, Mateo Kovacic, Matheus Santos Carneiro Da Cunha","Cole Palmer, Dwight McNeil, Gabriel Martinelli Silva, Liam Delap, Ollie Watkins",148.0,4,1,1137.9159999999993,,121.0,131.641
84,"Ashley Young, Bryan Mbeumo, Bukayo Saka, Chris Wood, Curtis Jones, Danny Welbeck, Jordan Pickford, Josko Gvardiol, Justin Kluivert, Matheus Santos Carneiro Da Cunha, Matz Sels, Michael Keane, Milos Kerkez, Mohamed Salah, Ola Aina","Ashley Young, Chris Wood, Curtis Jones, Danny Welbeck, Josko Gvardiol, Justin Kluivert, Matz Sels, Michael Keane, Milos Kerkez, Mohamed Salah, Ola Aina",Michael Keane,Curtis Jones,"Ashley Young, Chris Wood, Curtis Jones, Justin Kluivert, Michael Keane, Milos Kerkez","James Justin, Jarrod Bowen, Mateo Kovacic, Michail Antonio, Rayan Ait-Nouri, Trent Alexander-Arnold",193.0,5,1,1132.8239999999994,,148.0,101.33
85,"Alex Iwobi, Ashley Young, Bryan Mbeumo, Bukayo Saka, Chris Wood, Danny Welbeck, Jordan Pickford, Josko Gvardiol, Justin Kluivert, Matheus Santos Carneiro Da Cunha, Matz Sels, Michael Keane, Milos Kerkez, Mohamed Salah, Ola Aina","Alex Iwobi, Ashley Young, Bryan Mbeumo, Bukayo Saka, Chris Wood, Danny Welbeck, Josko Gvardiol, Matheus Santos Carneiro Da Cunha, Matz Sels, Michael Keane, Mohamed Salah",Bryan Mbeumo,Chris Wood,Alex Iwobi,Curtis Jones,191.0,0,1,1189.2389999999998,,193.0,112.332
86,"Alexander Isak, Ashley Young, Bruno Borges Fernandes, Bukayo Saka, Dominic Solanke, Joao Victor Gomes da Silva, Jordan Pickford, Josko Gvardiol, Justin Kluivert, Leif Davis, Matheus Santos Carneiro Da Cunha, Matz Sels, Milos Kerkez, Mohamed Salah, Ola Aina","Alexander Isak, Bruno Borges Fernandes, Dominic Solanke, Joao Victor Gomes da Silva, Josko Gvardiol, Leif Davis, Matheus Santos Carneiro Da Cunha, Matz Sels, Milos Kerkez, Mohamed Salah, Ola Aina",Dominic Solanke,Ola Aina,"Alexander Isak, Bruno Borges Fernandes, Dominic Solanke, Joao Victor Gomes da Silva, Leif Davis","Alex Iwobi, Bryan Mbeumo, Chris Wood, Danny Welbeck, Michael Keane",155.0,4,1,1183.1539999999998,,191.0,109.542
